problem_id,id__status,id__elapsed_ms,naive__status,naive__elapsed_ms
SYN724+1,provable,12,provable,2
SYN726+1,timeout,108,timeout,106
SYN727+1,timeout,107,timeout,111
SYN728+1,timeout,107,timeout,106
SYN729+1,timeout,108,timeout,105
SYN730+1,provable,59,timeout,120
SYN731+1,provable,9,timeout,103
SYN732+1,provable,19,timeout,105
SYN733+1,provable,12,provable,15
SYN915+1,provable,6,provable,3
SYN918+1,provable,67,timeout,103
SYN919+1,timeout,113,timeout,105
SYN920+1,provable,20,provable,13
SYN921+1,provable,8,provable,3
SYN922+1,provable,7,provable,2
SYN923+1,provable,8,provable,2
SYN924+1,provable,10,provable,1
SYN925+1,provable,7,provable,1
SYN926+1,provable,7,provable,1
SYN927+1,provable,6,provable,1
SYN928+1,provable,5,provable,1
SYN929+1,provable,7,provable,2
SYN930+1,provable,8,provable,2
SYN931+1,provable,10,provable,2
SYN932+1,provable,7,provable,1
SYN933+1,provable,5,provable,1
SYN934+1,provable,10,provable,2
SYN935+1,provable,9,provable,2
SYN936+1,provable,12,provable,2
SYN937+1,provable,11,provable,2
SYN939+1,timeout,111,timeout,106
SYN940+1,timeout,115,timeout,106
SYN941+1,timeout,120,timeout,105
SYN942+1,provable,18,provable,2
SYN943+1,timeout,109,timeout,122
SYN944+1,timeout,108,timeout,107
SYN945+1,provable,7,provable,1
SYN946+1,provable,9,provable,2
SYN947+1,provable,8,timeout,104
SYN948+1,provable,7,provable,14
SYN949+1,timeout,109,timeout,106
SYN950+1,provable,14,provable,2
SYN951+1,provable,19,provable,2
SYN952+1,provable,7,provable,1
SYN953+1,provable,10,provable,2
SYN954+1,provable,13,provable,3
SYN955+1,provable,10,provable,2
SYN956+1,provable,7,provable,1
SYN957+1,provable,6,provable,1
SYN958+1,provable,10,provable,1
SYN959+1,provable,7,provable,1
SYN960+1,provable,7,timeout,106
SYN961+1,provable,6,provable,1
SYN962+1,provable,6,provable,2
SYN963+1,provable,5,provable,1
SYN964+1,provable,6,provable,1
SYN965+1,timeout,108,timeout,115
SYN966+1,timeout,108,timeout,110
SYN967+1,provable,13,provable,3
SYN968+1,provable,6,provable,1
SYN969+1,provable,10,provable,3
SYN970+1,provable,9,timeout,104
SYN971+1,provable,6,provable,1
SYN972+1,provable,6,provable,1
SYN973+1,provable,6,provable,1
SYN974+1,provable,5,provable,1
SYN975+1,provable,6,timeout,105
SYN976+1,provable,9,provable,1
SYN977+1,provable,8,provable,2
SYN978+1,provable,9,provable,2
SYN979+1,provable,53,timeout,108
SYN980+1,provable,54,timeout,107
SYN981+1,provable,9,provable,3
SYN986+1.000,provable,17,timeout,108
SYN986+1.001,timeout,109,timeout,107
SYN986+1.002,timeout,116,timeout,119
SYN986+1.003,timeout,110,timeout,111
SYN986+1.004,timeout,110,timeout,108
SYN986+1.005,timeout,108,timeout,108
SYN986+1.006,timeout,108,timeout,116
SYO607+1,timeout,109,timeout,107
TOP021+1,timeout,111,timeout,127
TOP022+1,timeout,109,timeout,112
