engine,problems,solved,timeout,unknown,other,no_data,solve_rate,mean_elapsed_ms_solved,median_elapsed_ms_solved,solved_count_for_speed
id,368,191,174,3,0,0,0.5190217391304348,15.581151832460733,9.0,191
naive,368,140,225,3,0,0,0.3804347826086957,4.957142857142857,2.0,140
