problem_id,engine,elapsed_ms
SYN367+1,id,61
GEO207+2,id,33
GEO207+1,id,57
SYN407+1,id,14
KRS137+1,id,97
SYN920+1,id,110
LCL646+1.001,id,439
LCL664+1.001,id,652
CSR028+1,id,105
GEO207+3,id,274
GEO220+2,id,83
LCL644+1.001,id,494
GEO220+1,id,57
CSR069+1,id,127
CSR053+1,id,85
GEO229+1,id,107
SYN915+1,priority-id,1
SYN392+1,priority-id,1
SYN398+1,priority-id,1
LCL662+1.001,priority-id,6
SYN399+1,priority-id,10
SYN393+1.003,priority-id,11
LCL680+1.001,priority-id,1
SYN405+1,priority-id,1
SYN403+1,priority-id,1
SET043+1,priority-id,1
SYN406+1,priority-id,3
SWB003+2,priority-id,1
SYN416+1,priority-id,2
SYN950+1,priority-id,5
SYN001+1,priority-id,0
SYN954+1,priority-id,7
SYN048+1,priority-id,1
SYN967+1,priority-id,7
SYN969+1,priority-id,2
SYN921+1,priority-id,1
SYN981+1,priority-id,2
SYN922+1,priority-id,1
SYN923+1,priority-id,1
SYN924+1,priority-id,1
SYN926+1,priority-id,1
SYN930+1,priority-id,1
SYN931+1,priority-id,1
SYN934+1,priority-id,2
SYN935+1,priority-id,0
SYN936+1,priority-id,1
SYN937+1,priority-id,1
SYN946+1,priority-id,1
SYN953+1,priority-id,1
SYN955+1,priority-id,2
SYN956+1,priority-id,0
SYN958+1,priority-id,1
SYN977+1,priority-id,0
SYN978+1,priority-id,0
SYN357+1,priority-id,2
SYN368+1,priority-id,2
SYN387+1,priority-id,1
SYN388+1,priority-id,0
SYN390+1,priority-id,0
SYN396+1,priority-id,1
SYN397+1,priority-id,1
SYN400+1,priority-id,21
SYN401+1,priority-id,8
SYN402+1,priority-id,9
SYN404+1,priority-id,1
SYN412+1,priority-id,3
SYN925+1,priority-id,1
SYN927+1,priority-id,5
SYN928+1,priority-id,3
SYN932+1,priority-id,3
SYN933+1,priority-id,1
SYN952+1,priority-id,4
SYN957+1,priority-id,4
SYN963+1,priority-id,6
SYN964+1,priority-id,1
SYN968+1,priority-id,5
SYN971+1,priority-id,3
SYN972+1,priority-id,5
SYN973+1,priority-id,5
SYN974+1,priority-id,4
SET046+1,priority-id,25
SET786+1,priority-id,33
SET913+1,priority-id,8
SET915+1,priority-id,2
SYN044+1,priority-id,11
SYN047+1,priority-id,15
SYN942+1,priority-id,12
SYN951+1,priority-id,22
SYN063+1,priority-id,23
SYN385+1,priority-id,5
SYN408+1,priority-id,7
SYN409+1,priority-id,5
KRS136+1,priority-id,4
SYN929+1,priority-id,3
SYN945+1,priority-id,4
SYN948+1,priority-id,1
SYN959+1,priority-id,1
SYN961+1,priority-id,3
SYN962+1,priority-id,4
LCL181+1,priority-id,2
LCL230+1,priority-id,1
SYN040+1,priority-id,9
SYN041+1,priority-id,5
SYN046+1,priority-id,16
SYN049+1,priority-id,23
SYN052+1,priority-id,7
SYN053+1,priority-id,14
SYN722+1,priority-id,461
SYN082+1,priority-id,15
SYN315+1,priority-id,53
SYN358+1,priority-id,7
SYN371+1,priority-id,4
SYN372+1,priority-id,3
SYN373+1,priority-id,6
SYN374+1,priority-id,60
SYN375+1,priority-id,18
SYN377+1,priority-id,244
SYN378+1,priority-id,11
SET899+1,priority-id,4
SYN383+1,priority-id,6
SYN389+1,priority-id,1
SYN394+1,priority-id,12
SYN395+1,priority-id,17
SYN060+1,priority-id,130
MSC011+1,priority-id,66
GEO171+2,priority-id,113
KRS168+1,priority-id,152
SYN391+1,priority-id,237
SEU158+1,priority-id,128
SEU163+1,priority-id,34
SYN062+1,priority-id,36
SEU158+3,priority-id,9
SEU163+3,priority-id,14
SYN061+1,priority-id,25
SYN325+1,priority-id,43
SYN336+1,priority-id,61
SYN724+1,priority-id,15
SYN733+1,priority-id,52
SYN976+1,priority-id,10
LCL648+1.001,priority-id,54
LCL666+1.001,priority-id,19
SWB001+2,priority-id,7
SYN051+1,priority-id,21
SYN318+1,priority-id,41
SYN323+1,priority-id,9
KRS165+1,priority-id,12
SYN355+1,priority-id,11
SYN367+1,priority-id,65
GEO207+2,priority-id,81
SYN045+1,priority-id,14
GEO207+1,priority-id,78
SYN327+1,priority-id,33
SYN920+1,priority-id,101
SYN407+1,priority-id,38
KRS137+1,priority-id,68
LCL646+1.001,priority-id,240
LCL664+1.001,priority-id,363
GEO220+2,priority-id,158
CSR028+1,priority-id,105
GEO207+3,priority-id,280
LCL644+1.001,priority-id,174
GEO220+1,priority-id,30
CSR069+1,priority-id,32
CSR053+1,priority-id,49
GEO229+1,priority-id,32
LCL663+1.001,naive,7
LCL681+1.001,naive,0
SYN916+1,naive,6
LCL679+1.001,naive,0
LCL663+1.001,id,2
LCL681+1.001,id,4
SYN916+1,id,3
LCL679+1.001,id,1
LCL663+1.001,priority-id,19
LCL681+1.001,priority-id,2
SYN916+1,priority-id,1
LCL679+1.001,priority-id,0
easy_1,naive,1
easy_4,naive,10
easy_11,naive,0
easy_5,naive,1
easy_12,naive,0
easy_13,naive,0
easy_6,naive,3
easy_14,naive,0
easy_7,naive,2
easy_15,naive,0
easy_8,naive,51
easy_9,naive,715
medium_2,naive,45
easy_2,naive,3
easy_3,naive,2
easy_30,naive,1
easy_28,naive,0
medium_27,naive,3
medium_3,naive,63
medium_1,naive,59
medium_13,naive,34
medium_14,naive,823
medium_4,naive,82
medium_49,naive,0
medium_51,naive,0
medium_5,naive,860
easy_1,id,2
easy_11,id,1
easy_12,id,0
easy_13,id,1
easy_14,id,0
easy_15,id,1
easy_4,id,5
easy_5,id,5
easy_6,id,14
easy_7,id,3
easy_8,id,17
easy_9,id,78
medium_2,id,84
easy_2,id,5
easy_3,id,3
easy_30,id,1
easy_28,id,1
medium_3,id,154
medium_49,id,1
medium_27,id,4
medium_5,id,133
medium_51,id,1
medium_1,id,72
medium_13,id,25
medium_14,id,69
medium_4,id,215
easy_1,priority-id,2
easy_11,priority-id,0
easy_12,priority-id,1
easy_13,priority-id,2
easy_14,priority-id,1
easy_15,priority-id,1
medium_3,priority-id,93
medium_2,priority-id,58
easy_2,priority-id,2
medium_1,priority-id,40
medium_13,priority-id,11
medium_14,priority-id,27
easy_28,priority-id,1
easy_3,priority-id,3
easy_30,priority-id,0
medium_49,priority-id,2
medium_27,priority-id,2
easy_4,priority-id,5
medium_5,priority-id,83
easy_5,priority-id,4
medium_51,priority-id,0
easy_6,priority-id,7
easy_7,priority-id,5
easy_8,priority-id,10
easy_9,priority-id,22
medium_4,priority-id,152
validation__325__entails,naive,28
validation__325__refutes,naive,74
validation__360__entails,naive,11
validation__147__entails,naive,33
validation__147__refutes,naive,10
validation__148__entails,naive,10
validation__148__refutes,naive,10
validation__149__entails,naive,11
validation__149__refutes,naive,11
validation__1272__refutes,naive,15
validation__1273__entails,naive,15
validation__243__entails,naive,548
validation__1__refutes,naive,11
validation__240__entails,naive,72
validation__289__entails,naive,18
validation__289__refutes,naive,88
validation__290__entails,naive,49
validation__290__refutes,naive,44
validation__291__entails,naive,23
validation__291__refutes,naive,45
validation__307__entails,naive,58
validation__307__refutes,naive,96
validation__578__entails,naive,35
validation__1245__entails,naive,53
validation__1245__refutes,naive,40
validation__1247__entails,naive,24
validation__1247__refutes,naive,34
validation__1244__entails,naive,22
validation__1244__refutes,naive,25
validation__323__entails,naive,42
validation__323__refutes,naive,51
validation__324__entails,naive,72
validation__324__refutes,naive,34
validation__1269__entails,naive,115
validation__610__entails,naive,97
validation__724__refutes,naive,64
validation__726__entails,naive,117
validation__618__entails,naive,21
validation__739__refutes,naive,60
validation__618__refutes,naive,68
validation__619__refutes,naive,53
validation__619__entails,naive,50
validation__809__refutes,naive,291
validation__934__refutes,naive,161
validation__935__entails,naive,144
validation__325__entails,id,4
validation__325__refutes,id,10
validation__360__entails,id,66
validation__147__entails,id,1
validation__147__refutes,id,0
validation__148__entails,id,0
validation__148__refutes,id,0
validation__1272__refutes,id,61
validation__149__entails,id,0
validation__1273__entails,id,42
validation__149__refutes,id,0
validation__243__entails,id,10
validation__1__refutes,id,5
validation__240__entails,id,2
validation__289__entails,id,4
validation__289__refutes,id,8
validation__290__entails,id,0
validation__290__refutes,id,1
validation__291__entails,id,23
validation__291__refutes,id,15
validation__578__entails,id,6
validation__1245__entails,id,8
validation__1245__refutes,id,9
validation__1247__entails,id,6
validation__1247__refutes,id,8
validation__307__entails,id,37
validation__323__entails,id,1
validation__323__refutes,id,9
validation__307__refutes,id,176
validation__324__entails,id,13
validation__1244__entails,id,10
validation__324__refutes,id,20
validation__1244__refutes,id,22
validation__1269__entails,id,685
validation__610__entails,id,42
validation__618__refutes,id,115
validation__619__refutes,id,24
validation__619__entails,id,15
validation__618__entails,id,5
validation__934__refutes,id,213
validation__935__entails,id,306
validation__724__refutes,id,67
validation__726__entails,id,6
validation__809__refutes,id,220
validation__739__refutes,id,79
validation__325__entails,priority-id,7
validation__325__refutes,priority-id,2
validation__360__entails,priority-id,4
validation__724__refutes,priority-id,4
validation__726__entails,priority-id,1
validation__739__refutes,priority-id,1
validation__809__refutes,priority-id,258
validation__934__refutes,priority-id,80
validation__935__entails,priority-id,237
validation__1272__refutes,priority-id,65
validation__1273__entails,priority-id,67
validation__578__entails,priority-id,7
validation__147__entails,priority-id,1
validation__147__refutes,priority-id,1
validation__148__entails,priority-id,1
validation__148__refutes,priority-id,17
validation__149__entails,priority-id,9
validation__149__refutes,priority-id,9
validation__243__entails,priority-id,142
validation__1__refutes,priority-id,1
validation__1244__entails,priority-id,9
validation__240__entails,priority-id,6
validation__1244__refutes,priority-id,9
validation__1245__entails,priority-id,28
validation__1245__refutes,priority-id,13
validation__1247__entails,priority-id,6
validation__1247__refutes,priority-id,26
validation__610__entails,priority-id,95
validation__618__refutes,priority-id,65
validation__619__entails,priority-id,30
validation__619__refutes,priority-id,42
validation__618__entails,priority-id,5
validation__1269__entails,priority-id,237
